id,rawTweet,cleanedTweet,label
1079,"misal:
mayoritas negara eropa (dan dunia) mengecam invasi rusia ke ukraina. apakah salah jika ada pertanyaan:
kenapa gak mengecam invasi israel ke palestina?",mayoritas negara eropa dunia kecam invasi rusia ukraina salah gak kecam invasi israel palestina,positif
1080,pejabat tinggi militer ukraina klaim invasi rusia dekati bulan-bulan terakhir: berakhir di musim semi  ,jabat militer ukraina klaim invasi rusia dekat musim semi,positif
1081,menurut ketua umum hkti tersebut permasalahan pupuk secara global itu buntut dari invasi yang terjadi antara ukraina dan rusia. #publisherstory #kepripedia ,ketua hkti masalah pupuk global buntut invasi ukraina rusia publisherstory kepripedia,positif
1082,ada yaa orang indonesia saban hari di snap wa nya update video tentara rusia atau korut yg lagi invasi ukraina atau lagi ngelawan tentara nato.dikasih caption seakan akan dia tau bgt kejadian dsna anjir wkwk kadang video tank doang lwat.tapi caption-nya dramatis bgt.,yaa orang indonesia saban snap wa nya update video tentara rusia korut yg invasi ukraina ngelawan tentara nato kasih caption akan tau bgt jadi dsna anjir wkwk kadang video tank doang lwat caption nya dramatis bgt,positif
1083,"tambah sengit, 400 tembakan artileri rusia gempur pasukan ukraina  #ukraina #rusia #invasirusia #presidenukrainavolodymyrzelensky",sengit tembak artileri rusia gempur pasu ukraina ukraina rusia invasirusia presidenukrainavolodymyrzelensky,positif
1084,"dalam menyikapi invasi rusia di ukraina, beserta dampaknya yang dapat memicu krisis pangan dan perekonomian dunia.

indonesia bangga

#proudofjokowi
",sikap invasi rusia ukraina serta dampak picu krisis pangan ekonomi dunia indonesia bangga proudofjokowi,positif
1085,"para pengamat indonesia ada yg berdebat kenapa pakai kata condem, mengecam. para negosiator indonesia memakai kata itu karena lebih faktual. sebab, itulah bahasa yg dipakai dalam sidang umum pbb soal invasi rusia. #g20indonesia",amat indonesia yg debat pakai condem kecam negosiator indonesia pakai faktual bahasa yg pakai sidang pbb invasi rusia,positif
1086,"strategi yang dipakai diplomat indonesia adalah memakai redaksional ""berbasis fakta"" (pbb mengecam invasi rusia ke ukraina) dan mengakui ada ""split view"" melalui kata "".there were other views and different assessments of the situation and sanctions.""  #g20indonesia",strategi pakai diplomat indonesia pakai redaksional bas fakta pbb kecam invasi rusia ukraina aku split view there were other views and different assessments of the situation and sanctions,positif
1087,"draft deklarasi soal pangan, kesehatan, energi dan digital, sudah disiapkan sejak juli dan hampir rampung awal november. soal geopolitik (dampak invasi rusia ke ukraina) baru dibahas sejak 10 nov dan kelar 14 nov jam 8 malam.
",draft deklarasi pangan sehat energi digital siap juli rampung november geopolitik dampak invasi rusia ukraina bahas nov kelar nov jam malam,positif
1088,"#menteri pertahanan as#nuklir#nato!

menteri pertahanan amerika serikat (as) lloyd austin memperingatkan potensi spiral proliferasi nuklir yang berbahaya dari invasi rusia ke ukraina.

",menteri tahan as nuklir nato menteri tahan amerika serikat as lloyd austin ingat potensi spiral proliferasi nuklir bahaya invasi rusia ukraina,positif
1089,"para pemimpin asia-pasifik mengutuk invasi rusia di ukraina di forum apec, kecuali china ",pimpin asia pasifik kutuk invasi rusia ukraina forum apec kecuali china,positif
1090,ktt apec keluarkan deklarasi serukan akhiri invasi rusia di ukraina  ,ktt apec keluar deklarasi seru invasi rusia ukraina,positif
1091,"sedikitnya 437 anak-anak ukraina yang tewas akibat invasi rusia, kata kejaksaan agung ukraina pada sabtu (19/11).

lebih dari 837 anak lainnya juga terluka, kata kejaksaan tersebut.

#russianukrainianwar #news #trendingnow 
",anak anak ukraina tewas akibat invasi rusia jaksa agung ukraina sabtu anak luka jaksa russianukrainianwar news trendingnow,positif
1092,"rusia telah memblok twitter, facebook, meta, dan instagram. sejak invasi rusia ke ukraina�februari lalu 
#ukrainarussianwar
",rusia blok twitter facebook meta instagram invasi rusia ukraina februari ukrainarussianwar,netral
1093,@jogmfs invasi rusia,jogmfs invasi rusia,netral
1094,"@rafiapeng ada film bru tu dinetflix perang dunia pertama dri jerman perspective ""all quiet on the wester front"" keren jg tu, ada jga film perang thun 1993 stanligard invasi jerman ke rusia ww ii",rafiapeng film bru tu dinetflix perang dunia dri jerman perspective all quiet on the wester front keren jg tu jga film perang thun stanligard invasi jerman rusia ww ii,positif
1095,"ledakan besar menghantam pipa gazprom 14 mil sebelah timur st petersburg, kota terbesar kedua rusia dan kampung halaman putin. muncul kekhawatiran bahwa itu adalah serangan pembalasan atas invasi lanjutan rusia ke ukraina. ",ledak hantam pipa gazprom mil belah timur st petersburg kota besar rusia kampung halaman putin muncul khawatir serang balas invasi lanjut rusia ukraina,positif
1096,"@mentimoen zelenzky itu hanyalah seorang presiden yang berusaha membela negerinya dari invasi. dia gak ada pilihan lain. ayolah jangan melihat dunia hanya dari barat dan timur, as dan rusia. banyak negara2 lain punya hak kemerdekaan yg sama.",mentimoen zelenzky presiden usaha bela negeri invasi gak pilih ayo dunia barat timur as rusia hak merdeka yg,positif
1097,"sebagian besar anggota apec kecam invasi rusia di ukraina -  

#idcorner",anggota apec kecam invasi rusia ukraina idcorner,positif
1098,ukraina: 437 anak tewas akibat invasi rusia  #tempodunia,ukraina anak tewas akibat invasi rusia tempodunia,positif
1099,deklarasi ktt apec: mayoritas anggota kecam invasi rusia ke ukraina  #tempodunia,deklarasi ktt apec mayoritas anggota kecam invasi rusia ukraina tempodunia,positif
1100,perwujudan dan tantangan bagi lahirnya perdamaian dunia pada saat ini menghadapi banyak tantangan dengan fenomena banyaknya konflik dibaliknya. kasus yang baru-baru ini terjadi terkait dengan invasi rusia ke ukraina,wujud tantang lahir damai dunia hadap tantang fenomena banyak konflik balik kait invasi rusia ukraina,positif
1101,"setelah keberhasilan awal pada invasi rusia tahun 1941, wehrmacht dan waffen ss akhirnya kehabisan tenaga di gerbang moskwa.",hasil invasi rusia wehrmacht waffen ss habis tenaga gerbang moskwa,positif
1102,perwujudan dan tantangan bagi lahirnya perdamaian dunia pada saat ini menghadapi banyak tantangan dengan fenomena banyaknya konflik dibaliknya. kasus yang baru-baru ini terjadi terkait dengan invasi rusia ke ukraina telah mengakibatkan banyaknya nyawa yang melayang dan kerugian,wujud tantang lahir damai dunia hadap tantang fenomena banyak konflik balik kait invasi rusia ukraina akibat banyak nyawa layang rugi,positif
1103,@eternaltylenol halo bagaimana pandangamu terhadap invasi rusia ke ukraina?.[memancing emosi],eternaltylenol halo pandangamu invasi rusia ukraina pancing emosi,positif
1104,"@tanyarlfes resesi, konflik rusia ukraina, perang dunia 3, invasi polandia",tanyarlfes resesi konflik rusia ukraina perang dunia invasi polandia,positif
1105,"menurut analisis, rusia kemungkinan mulai memproduksi iskander, kalibr, dan rudal jelajah dalam jumlah besar bahkan sebelum invasi.",analisis rusia produksi iskander kalibr rudal jelajah invasi,positif
1106,mengutip dari laman  black sea grain initiative merupakan suatu kesepakatan yang dilakukan oleh rusia dan ukraina dengan turki bersama perserikatan bangsa-bangsa (pbb). kesepakatan ini dibuat setelah rusia melakukan invasi ke ukraina #g20balioptimis,kutip laman black sea grain initiative sepakat rusia ukraina turki serikat bangsa bangsa pbb sepakat rusia invasi ukraina,positif
1107,"black sea grain initiative merupakan suatu kesepakatan yang dilakukan oleh rusia dan ukraina dengan turki bersama pbb. kesepakatan ini dibuat setelah rusia melakukan invasi ke ukraina.



#g20balioptimis ",black sea grain initiative sepakat rusia ukraina turki pbb sepakat rusia invasi ukraina,positif
1108,"selain itu, rusia juga resmi resesi karena sanksi barat yang menghambat perekonomian mereka, sembilan bulan setelah invasi ke ukraina.",rusia resmi resesi sanksi barat hambat ekonomi sembilan invasi ukraina,positif
1109,"g-20 kutuk invasi rusia ke ukraina
meskipun negeri islam indonesia tuan rumah, dihadiri saudi, namun minus kecaman terhadap:
invasi  entitas yahudi di palestina
serangan amerika&amp;rusia ke suriah
perlakuan keji china ke muslim uighur
bagaimana ciptakan perdamaian tanpa keadilan ",g kutuk invasi rusia ukraina negeri islam indonesia tuan rumah hadir saudi minus kecam invasi entitas yahudi palestina serang amerika amp rusia suriah laku keji china muslim uighur cipta damai adil,positif
1110,pilpres kazakhstan akan digelar di tengah invasi rusia ke ukraina  #tempodunia,pilpres kazakhstan gelar invasi rusia ukraina tempodunia,positif
1111,"@ahmahmniam @yosuahtgl @mendolhitam @dedzertfox @catchmeupid bpk byk mngatakn mad. mad yg bpk mksd itu apa?
sebagai attacker byk minusnya bpk dikihat dri mna? sejarah ww1, ww2 atau invasi ke ukrain skrg?
klo misal serangan rusia byk minus, tdk ada kota di rusia yg di aneksasi rusia.",ahmahmniam yosuahtgl mendolhitam dedzertfox catchmeupid bpk byk mngatakn mad mad yg bpk mksd attacker byk minus bpk dikihat dri mna sejarah invasi ukrain skrg klo serang rusia byk minus tdk kota rusia yg aneksasi rusia,positif
1112,"@ahmahmniam @yosuahtgl @mendolhitam @dedzertfox @catchmeupid punya kapasitas apa rusia bsa menekan media? media mana/apa yg bpk mksd? apa bpk tau tntng pers?
barat tdk bisa lantas untuk apa dbentuk nato otan? lantas ada kepentingan apa jg barat yg bpk mksd itu invasi ke rusia.",ahmahmniam yosuahtgl mendolhitam dedzertfox catchmeupid kapasitas rusia bsa tekan media media yg bpk mksd bpk tau tntng pers barat tdk lantas dbentuk nato otan lantas penting jg barat yg bpk mksd invasi rusia,positif
1113,"tempo economic forum: ancaman resesi 2023, imf cermati 3 dampak invasi rusia  #tempobisnis",tempo economic forum ancam resesi imf cermat dampak invasi rusia tempobisnis,positif
1114,macron: invasi rusia ke ukraina adalah ancaman terhadap pertumbuhan berkelanjutan  ,macron invasi rusia ukraina ancam tumbuh lanjut,positif
1115,@urcatpotato cuti bersama natal untuk tahun ini ditiadakan. alasan utama peniadaan cuti bersama natal 2022 adalah masalah keamanan imbas dari invasi militer rusia ke ukraina yang menyebabkan ribuan korban meninggal dunia,urcatpotato cuti natal tiada alas utama tiada cuti natal aman imbas invasi militer rusia ukraina sebab ribu korban tinggal dunia,positif
1116,@darjofess cuti bersama natal untuk tahun ini ditiadakan. alasan utama peniadaan cuti bersama natal 2022 adalah masalah keamanan imbas dari invasi militer rusia ke ukraina yang menyebabkan ribuan korban meninggal dunia,darjofess cuti natal tiada alas utama tiada cuti natal aman imbas invasi militer rusia ukraina sebab ribu korban tinggal dunia,positif
1117,banyak yang nanya kapan cuti bersama natal tahun ini. cuti bersama natal untuk tahun ini ditiadakan. alasan utama peniadaan cuti bersama natal 2022 adalah masalah keamanan imbas dari invasi militer rusia ke ukraina yang menyebabkan ribuan korban meninggal dunia,nanya cuti natal cuti natal tiada alas utama tiada cuti natal aman imbas invasi militer rusia ukraina sebab ribu korban tinggal dunia,positif
1118,"dukungan terhadap fumio kishida pada mei mencapai angka 66%, didorong oleh tanggapannya terhadap invasi rusia ?ke ukraina ?yang tegas, termasuk turut memberlakukan sanksi.",dukung fumio kishida mei capai angka dorong tanggap invasi rusia ukraina laku sanksi,positif
1119,"#foto salju pertama musim dingin ukraina kali ini turun di tengah invasi rusia. kondisi ini diperparah dengan lumpuhnya sejumlah fasilitas energi.

foto: getty images ",foto salju musim dingin ukraina kali turun invasi rusia kondisi parah lumpuh fasilitas energi foto getty images,positif
1120,268 hari invasi rusia ke ukraina: update korban tewas hingga pesawat rontok ,invasi rusia ukraina update korban tewas pesawat rontok,positif
1121,"pm singapura, negara g20 seharusnya kecam invasi rusia ke ukraina

selengkapnya: 
via: @tribunwow ",pm singapura negara kecam invasi rusia ukraina lengkap via tribunwow,positif
1122,update news : tidak bisa di pungkiri ekonomi bisnis saat ini mengalami slowing down.tidak tahu apa penyebab pastinya : imbas covid kah? invasi rusia kah? perang dingincina-us?  atau ini penyebabnya --&gt; ?,update news pungkiri ekonomi bisnis alami slowing down sebab pasti imbas covid kah invasi rusia kah perang dingincina us sebab gt,positif
1123,"9 bulan setelah invasi ukraina, rusia kejeblos ke jurang resesi ",invasi ukraina rusia jeblos jurang resesi,positif
1124,"inggris dan rusia resmi resesi ekonomi, imbas 9 bulan invasi ukraina? ",inggris rusia resmi resesi ekonomi imbas invasi ukraina,positif
1125,loyonya pdb rusia hingga menyebabkan resesi tak lepas dari serentetan sanksi barat kepada moskwa akibat invasi di ukraina. ,loyo pdb rusia sebab resesi lepas rentet sanksi barat moskwa akibat invasi ukraina,positif
1126,"imbas invasi ukraina, rusia resmi jatuh ke jurang resesi ",imbas invasi ukraina rusia resmi jatuh jurang resesi,positif
1127,@eee_kur @donenonly_ @askrlfess berasa invasi rusia,eee kur donenonly askrlfess asa invasi rusia,positif
1128,"pemimpin kristen orthodox dunia 
kecam patriark kirill karena dukung invasi rusia ",pimpin kristen orthodox dunia kecam patriark kirill dukung invasi rusia,positif
1129,iya. presidensi g20 di tengah situasi invasi rusia ke ukraine dan pandemi yang belum sepenuhnya hilang.,iya presidensi situasi invasi rusia ukraine pandemi sepenuh hilang,positif
1130,"5) dia juga mengkritik pemerintah ukraina sebelum invasi rusia. otoritas menerapkan undang-undang bahwa semua staf layanan harus berbicara bahasa ukraina. 

dan bahasa rusia itu dilarang diajarkan di sekolah. dia mengatakan semua orang di mariupol berbicara bahasa rusia.",kritik perintah ukraina invasi rusia otoritas terap undang undang staf layan bicara bahasa ukraina bahasa rusia larang ajar sekolah orang mariupol bicara bahasa rusia,positif
1131,"forum g20 pekan ini di bali emang bahas perang, tapi soal meredam dampak ekonomi invasi rusia ke ukraina aja. bahas perubahan iklim, tapi soal transisi energi berkelanjutan demi ekonomi aja. bukan emisi karbon dari operasi militer, kenapa?

",forum pekan bal emang bahas perang redam dampak ekonomi invasi rusia ukraina aja bahas ubah iklim transisi energi lanjut ekonomi aja emisi karbon operasi militer,positif
1132,"@leviathan3rd @vipbinic @catchmeupid ya sama aja, mereka  yg pro ukraina dan mengecam invasi rusia adalah rata rata mereka yg pro israel dan mendukung aneksasi tepi barat.",vipbinic catchmeupid ya aja yg pro ukraina kecam invasi rusia yg pro israel dukung aneksasi tepi barat,positif
1133,"tak lama setelah itu, teheran buka suara dan membantah tuduhan as. namun pada 5 november kemarin, iran untuk pertama kalinya mengakui telah memasok drone ke rusia. akan tetapi, iran menyebut bahwa armada drone tersebut dikirim sebelum invasi rusia ke ukraina pada februari lalu.",teheran buka suara ban tuduh as november kemarin iran kali aku pasok drone rusia iran sebut armada drone kirim invasi rusia ukraina februari,positif
1134,"@nekareanemesis @hr15de_black @moderatortl @selpunca @txtdrpemerintah sebelum invasi kan rusia dagang gas sama jerman lancar2 aja tuh sampe pipeline bikin ga diganggu, trump ngomel2 ke jerman ya sebatas ngomel aja, gaada larangan resmi/intervensi dari barat.",nekareanemesis black moderatortl selpunca txtdrpemerintah invasi rusia dagang gas jerman aja tuh sampe pipeline bikin ga ganggu trump jerman ya batas ngomel aja gaada larang resmi intervensi barat,positif
1135,"di g20, tiongkok keberatan sebut invasi rusia ke ukraina adalah perang  #terbaru #adalah #berita #g20 ",tiongkok berat invasi rusia ukraina perang baru berita,positif
1136,"@dedypiqatur @sbyfess cuti bersama natal untuk tahun ini ditiadakan. alasannya satu, karena adanya ancaman keamanan lantaran invasi rusia ke ukraina",dedypiqatur sbyfess cuti natal tiada alas ancam aman lantar invasi rusia ukraina,positif
1137,"@kwacimatchaaa benar. akibat dari invasi rusia ke ukraina, maka cuti bersama natal untuk tahun ini ditiadakan",kwacimatchaaa akibat invasi rusia ukraina cuti natal tiada,positif
1138,"@baqir5758 sudah ga ada. setelah invasi rusia, semua monumen ussr langsung dipindah dari tempat publik. no more soviet ?",ga invasi rusia monumen ussr langsung pindah publik no more soviet,positif
1139,"( artikel ini akan lebih membahas mengenai alasan mengapa ukraina ingin bergabung dan mengambil tindakan 'pro' kepada european union dan nato, serta sistem geopolitik yang menjadi akar permasalahan invasi rusia ke ukraina.",artikel bahas alas ukraina gabung ambil tindak pro european union nato sistem geopolitik akar masalah invasi rusia ukraina,positif
1140,"politik yg dimaksud tak lain adalah invasi putin ke ukraina. 
bahkan di pidato itu, sunak menyindir langsung serangan 80 misil rusia ke ukraina yg menyerang infrastruktur dan orang2 sipil di new western ukraine.",politik yg invasi putin ukraina pidato sunak sindir langsung serang misil rusia ukraina yg serang infrastruktur sipil new western ukraine,positif
1141,"di g20, tiongkok keberatan sebut invasi rusia ke ukraina adalah�perang ",tiongkok berat invasi rusia ukraina adalah perang,positif
1142,"di g20, tiongkok keberatan sebut invasi rusia ke ukraina adalah perang ",tiongkok berat invasi rusia ukraina perang,positif
1143,"ancam mengancam tak akan hadir sudah ramai dilontarkan banyak negara anggota terkait kehadiran putin sejak rusia invasi ke ukraina.
.
.",ancam ancam hadir ramai lontar negara anggota kait hadir putin rusia invasi ukraina,positif
1144,"invasi as ke timteng: silent and blind
invasi rusia ke ukraina: kejahatan kemanusiaan

?",invasi as timteng silent and blind invasi rusia ukraina jahat manusia,positif
1145,"@tinjuselatan @honbitoru @dittoradhitya @txtdarihi nasib ukraine memang dari dulu jadi buffer zone terbesar antara rusia dan nato di eropa. makanya mati-matian berebut pengaruh

prajurit rusia kuat secara teknologi. tapi gw g yakin mentalnya pada kuat. bolehlah mereka menang invasi. tapi untuk mempertahankan kemenangan? soal lain",tinjuselatan honbitoru dittoradhitya txtdarihi nasib ukraine buffer zone besar rusia nato eropa mati mati rebut pengaruh prajurit rusia kuat teknologi gw g mental kuat menang invasi tahan menang,positif
1146,"rusia memenuhi definisi teknis resesi dengan penurunan pdb selama dua kuartal beruntun, 9 bulan setelah invasi ke ukraina. ",rusia penuh definisi teknis resesi turun pdb kuartal untun invasi ukraina,positif
1147,"@vivacoid dari awal sudah saya sampaikan bahwa invasi rusia ke ukraina akan membuat kehancuran kedua belah pihak rusia sendiri dan amerika plus sekutu &amp; ue. mampuslah kalian itu

buuuahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha",vivacoid invasi rusia ukraina hancur belah rusia amerika plus sekutu amp ue mampus buuuahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,positif
1148,@gyuldaengie19 @pejabrut tidak ada cuti bersama natal. alasannya karena imbas dari invasi rusia ke ukraina,pejabrut cuti natal alas imbas invasi rusia ukraina,positif
1149,petinggi pentagon mengingatkan bahwa setiap serangan china terhadap taiwan akan menjadi kesalahan strategis yang sama buruknya dengan invasi rusia ke ukraina. ,petinggi pentagon serang china taiwan salah strategis buruk invasi rusia ukraina,positif
1150,perwujudan dan tantangan bagi lahirnya perdamaian dunia pada saat ini menghadapi banyak tantangan dengan fenomena banyaknya konflik dibaliknya. kasus yang baru-baru ini terjadi terkait dengan invasi rusia ke ukraina telah mengakibatkan,wujud tantang lahir damai dunia hadap tantang fenomena banyak konflik balik kait invasi rusia ukraina akibat,positif
1151,"ktt g20 bali berhasil menelurkan leaders' declaration setelah diskusi yang berlangsung alot mengenai invasi rusia ke ukraina.
#korantempo  ",ktt bal hasil telur leaders declaration diskusi alot invasi rusia ukraina korantempo,positif
1152,"@softwarnews saya sepakat, jika saja rusia tidak melakukan agresi dan invasi, maka tidak akan ada perang, jika tidak ada perang maka tidak akan sesulit ini keadaan dunia, rusia mestinya mulai menghentikan serangan, kecuali rusia punya agenda lain, menghancurkan ekonomi dan kestabilan dunia.",softwarnews sepakat rusia agresi invasi perang perang sulit dunia rusia mesti henti serang kecuali rusia agenda hancur ekonomi stabil dunia,positif
1153,"sebelumnya ngotot mau masuk nato yg menjadi salah satu alasan invasi rusia. awal invasi bilang tak akan masuk nato. saat mulai menguasai pertempuran krn bantuan persenjataan negara2 barat, awal oktober kemarin daftar keanggotaan nato. jadi siapa yg menginginkan perang?",ngotot masuk nato yg salah alas invasi rusia invasi bilang masuk nato kuasa tempur krn bantu senjata barat oktober kemarin daftar anggota nato yg perang,positif
1154,"ktt g20 di bali gagal melunakkan ketegangan rusia dengan eropa yang menginginkan setop invasi di ukraina. karena mengganggu rantai pasok bahan pangan dan minyak nabati. balasannya, eropa setop impor gas rusia. dalam konferensi seusai ktt g20 di bali,? ",ktt bal gagal lunak tegang rusia eropa setop invasi ukraina ganggu rantai pasok bahan pangan minyak nabati balas eropa setop impor gas rusia konferensi ktt bal,positif
1155,"menteri luar negeri retno marsudi tegas mengatakan, mengutuk invasi rusia ke ukraina tidak bermakna indonesia keluar dari prinsip politik bebas aktif. bagaimana opini kamu, tweeps? ",menteri negeri retno marsudi kutuk invasi rusia ukraina makna indonesia prinsip politik bebas aktif opini tweeps,positif
1156,"duduk didampingi menteri luar negeri retno marsudi dan menteri keuangan sri mulyani indrawati, jokowi menjelaskan alotnya pengambilan kesepakatan, karena pokok persoalan yang mendasari pentingnya deklarasi ini adalah invasi rusia ke ukraina. [1] ",duduk damping menteri negeri retno marsudi menteri uang sri mulyani indrawati jokowi alot ambil sepakat pokok dasar deklarasi invasi rusia ukraina,positif
1157,"setelah sempat diragukan akan lahir, sebuah deklarasi yang disebut bali g20 leader declaration akhirnya disepakati pada ktt g20. inti deklarasi ini adalah pernyataan mengutuk invasi rusia ke ukraina yang terjadi sejak februari 2022. #threads ",ragu lahir deklarasi bal leader declaration pakat ktt inti deklarasi nyata kutuk invasi rusia ukraina februari threads,positif
1158,@mardhaus @nekareanemesis @hr15de_black @moderatortl @selpunca @txtdrpemerintah lha rusia ada kaliningrad yang jauh masuk wilayah eropa barat ? lagian waktu di gertak rusia niat ukraina untuk gabung nato jadi pupus kok tapi tetap aja di invasi.,mardhaus nekareanemesis black moderatortl selpunca txtdrpemerintah lha rusia kaliningrad masuk wilayah eropa barat gertak rusia niat ukraina gabung nato pupus aja invasi,positif
1159,rusia dan belarus dilarang berpartisipasi di world beach games 2023 karena invasi ke ukraina,rusia belarus larang partisipasi world beach games invasi ukraina,positif
1160,"cina ikut kecam invasi rusia ke ukraina, presiden prancis emmanuel macron menilai hubungan kerja sama antarnegara tersebut akan berubah. #tempodunia ",cina kecam invasi rusia ukraina presiden prancis emmanuel macron nilai hubung kerja antarnegara ubah tempodunia,positif
1161,"ktt g20 alot bahas invasi rusia, sri mulyani: pertemuan level menteri tak capai kesepakatan 
betul sekali yg terutama harus sepakat dan ditegaskan setegas tegasnya ~ 
setanputin rusia? ?invasi ke ukraina? agresi rusia?yg merusak keadilan? ?. ",ktt alot bahas invasi rusia sri mulyani temu level menteri capai sepakat yg sepakat tegas setanputin rusia invasi ukraina agresi rusia yg rusak adil,positif
1162,"i mean yeah, kalau rusia ga invasi tu rudal gak bakal terbang",i mean yeah rusia ga invasi tu rudal gak terbang,netral
1163,"@kucingnyahitier @dittoradhitya @honbitoru @txtdarihi pdahal itu cuma operasi militer khusus udah bkin zelensky pusing, bayangkan kalo di invasi besar2 an sama rusia, ukraina ga bertahan sebulan bro.",kucingnyahitier dittoradhitya honbitoru txtdarihi pdahal operasi militer khusus udah bkin zelensky pusing bayang kalo invasi an rusia ukraina ga tahan bulan bro,positif
1164,orang indonesia itu lucu yh. mereka dukung kemerdekaan palestina tapi malah mendukung invasi rusia terhadap ukraina wkwk,orang indonesia lucu yh dukung merdeka palestina dukung invasi rusia ukraina wkwk,positif
1165,"@fullmoonfolks omg.
kok nggak mikir ya bahwa proses kesepakatan kmrn dah dibahas level menteri lama banget.

itulah kenapa putin gak mau datang,trus menterinya begitu datang langsung ke rumah sakit.bisa jadi dia jauh hari dah tahu kesepakatannya menghentikan invasi rusia ke ukraina.
omg  ?",fullmoonfolks omg nggak mikir ya proses sepakat kmrn dah bahas level menteri banget putin gak trus menteri langsung rumah sakit dah sepakat henti invasi rusia ukraina omg,positif
1166,"rudal nyasar di polandia, pm inggris salahkan invasi rusia ke ukraina ",rudal nyasar polandia pm inggris salah invasi rusia ukraina,positif
1167,"utas ?
.
.
.
seperti apa awal dari akhir di #ukraina?
==============================
invasi #rusia yang menghancurkan ke #ukraina kini memasuki bulan kesepuluh. apakah ada permainan akhir yang terlihat? ",utas ukraina invasi rusia hancur ukraina pasuk puluh main,positif
1168,@tempodotco maksudnya salahkan rusia yang invasi ukraina sejak awal. bukan terkait rudal nyasar. coba tempo tampilkan link berita komentar nato. rusia jelas menjajah dan melanggar konvensibpbb,tempodotco maksud salah rusia invasi ukraina kait rudal nyasar coba tempo tampil link berita komentar nato rusia jajah langgar konvensibpbb,positif
1169,"@txtdarihi media internasional ini ngutip sumber dr pemerintah yg ngelaporin kalo trudeau sama xi juga ngebahas invasi rusia ke ukraina, korea utara, dan perubahan iklim selama pertemuan singkat di ruangan yang penuh sesak di ktt.

kurang lebih begitu.",txtdarihi media internasional ngutip sumber dr perintah yg ngelaporin kalo trudeau xi ngebahas invasi rusia ukraina korea utara ubah iklim temu singkat ruang penuh sesak ktt,positif
1170,"ktt g20 menghasilkan deklarasi yang terdiri dari 52 paragraf. jokowi mengungkap ada paragraf yang sangat diperdebatkan, yaitu terkait invasi rusia ke ukraina. ",ktt hasil deklarasi paragraf jokowi ungkap paragraf debat kait invasi rusia ukraina,positif
1171,"dalam beberapa tahun terakhir, hubungan china dan rusia tampak akrab. beberapa pekan sebelum invasi, xi bahkan sempat mengatakan kedua negara memiliki kemitraan ""tanpa batas.""",hubung china rusia akrab pekan invasi xi negara milik mitra batas,positif
1172,"@ferdysambel @memberonlyfanss @detikcom yang nembak ukraina kok kamu salahkan putin, memang yang invasi ukraina adalah rusia, tapi kan yang menembakan rudal ke polandia adalah ukraina, jadi gak masuk akal kalo kamu salahkan putin",ferdysambel memberonlyfanss detikcom nembak ukraina salah putin invasi ukraina rusia tembak rudal polandia ukraina gak masuk akal kalo salah putin,positif
1173,"ktt g20 soroti invasi rusia ke ukraina, presiden jokowi : perang mengakibatkan�penderitaan ",ktt sorot invasi rusia ukraina presiden jokowi perang akibat derita,positif
1174,presiden zelenskyy: invasi rusia ke ukraina harus dihentikan -  ,presiden zelenskyy invasi rusia ukraina henti,positif
1175,"pemimpin inggris rishi sunak tentang jatuhnya rudal di polandia: ""semua ini tidak akan terjadi jika bukan karena invasi rusia ke ukraina."" ",pimpin inggris rishi sunak jatuh rudal polandia invasi rusia ukraina,positif
1176,presiden prancis emmanuel macron menyebut india dan china ikut mengecam invasi rusia ke ukraina di ktt g20 bali. #tempodunia ,presiden prancis emmanuel macron sebut india china kecam invasi rusia ukraina ktt bal tempodunia,positif
1177,presiden jokowi ungkap deklarasi g20 bali soal invasi rusia picu perdebatan ,presiden jokowi deklarasi bal invasi rusia picu debat,positif
1178,"@andrewsinaga9 @potus kebetulan belum mau terjun langsung berhadapan dgn rusia. jika as telah ingin berperang, maka dalih dicari. yg tak ada pun bisa diada2kan. sebagaimana dalih invasi di afghan, irak dan juga libya.",potus terjun langsung hadap dgn rusia as perang dalih cari yg dalih invasi afghan irak libya,positif
1179,@geloraco pd 3 bisa terjadi saat tiongkok invasi taiwan bersamaan dgn perang rusia nato .,geloraco pd tiongkok invasi taiwan sama dgn perang rusia nato,positif
1180,"liat replynya malu gegara kemakan propaganda, hati nurani terhadap negara yang diserang jadi hilang, lantang anti otoriter tapi mendukung diktator, anti china karena masalah teritori tapi mendukung invasi rusia ke ukraina heran ?",liat replynya malu gegara makan propaganda hati nurani negara serang hilang lantang anti otoriter dukung diktator anti china teritori dukung invasi rusia ukraina heran,positif
1181,"@aditya_pdm @namonakei @dittoradhitya @honbitoru @txtdarihi lah negara eropa timur dan baltik pada join nato kan gara2 takut ama rusia, apalagi abis georgia 2008

finland ama sweden juga akhirnya join nato setelah liat kalo rusia bakal invasi negara yang belom gabung",aditya pdm namonakei dittoradhitya honbitoru txtdarihi negara eropa timur baltik join nato takut ama rusia abis georgia finland ama sweden join nato liat kalo rusia invasi negara bom gabung,positif
1182,"pbb desak perbaiki kehancuran ukraina, ini jawaban rusia #ceklissatu #pbb #rusia #ukraina #invasirusia ",pbb desak baik hancur ukraina rusia ceklissatu pbb rusia ukraina invasirusia,positif
